Country,combined figures (kg/capita/year),Household estimate (kg/capita/year),Household estimate (tonnes/year),Retail estimate (kg/capita/year),Retail estimate (tonnes/year),Food service estimate (kg/capita/year),Food service estimate (tonnes/year),Confidence in estimate,M49 code,Region,Source
Slovenia,61,34,71107,7,13910,20,41741,1,705,Southern Europe,https://www.unep.org/resources/report/unep-food-waste-index-report-2174
Solomon Islands,135,91,60963,16,10476,28,18519,0,90,Melanesia,https://www.unep.org/resources/report/unep-food-waste-index-report-2098
Somalia,147,103,1585898,16,241530,28,426966,0,706,Sub-Saharan Africa,https://www.unep.org/resources/report/unep-food-waste-index-report-2219
South Africa,84,40,2329228,16,915865,28,1619024,0,710,Sub-Saharan Africa,https://www.unep.org/resources/report/unep-food-waste-index-report-2220
South Sudan,147,103,1136015,16,173014,28,305846,0,728,Sub-Saharan Africa,https://www.unep.org/resources/report/unep-food-waste-index-report-2221
Spain,116,77,3613954,13,598760,26,1195080,1,724,Southern Europe,https://www.unep.org/resources/report/unep-food-waste-index-report-2175
Sri Lanka,120,76,1617738,16,333508,28,589559,0,144,Southern Asia,https://www.unep.org/resources/report/unep-food-waste-index-report-2159
State of Palestine,145,101,501602,16,77910,28,137726,0,275,Western Asia,https://www.unep.org/resources/report/unep-food-waste-index-report-2240
Sudan,141,97,4162396,16,669608,28,1183703,0,729,Northern Africa,https://www.unep.org/resources/report/unep-food-waste-index-report-2111
Suriname,116,72,42112,16,9093,28,16075,0,740,Latin America and the Caribbean,https://www.unep.org/resources/report/unep-food-waste-index-report-2089
Sweden,112,81,812948,10,100364,21,205746,1,752,Northern Europe,https://www.unep.org/resources/report/unep-food-waste-index-report-2129
Switzerland,125,72,615790,13,110067,40,343656,1,756,Western Europe,https://www.unep.org/resources/report/unep-food-waste-index-report-2253
Syrian Arab Republic,148,104,1771842,16,266980,28,471955,0,760,Western Asia,https://www.unep.org/resources/report/unep-food-waste-index-report-2241
Tajikistan,141,97,906209,16,145783,28,257708,0,762,Central Asia,https://www.unep.org/resources/report/unep-food-waste-index-report-2025
Thailand,123,79,5478532,16,1088960,28,1925014,0,764,South-eastern Asia,https://www.unep.org/resources/report/unep-food-waste-index-report-2148
Timor-Leste,130,86,111643,16,20224,28,35752,0,626,South-eastern Asia,https://www.unep.org/resources/report/unep-food-waste-index-report-2149
Togo,147,103,830017,16,126411,28,223463,0,768,Sub-Saharan Africa,https://www.unep.org/resources/report/unep-food-waste-index-report-2222
Tonga,120,76,7912,16,1634,28,2889,0,776,Polynesia,https://www.unep.org/resources/report/unep-food-waste-index-report-2137
Trinidad and Tobago,113,74,103119,13,17872,26,35671,1,780,Latin America and the Caribbean,https://www.unep.org/resources/report/unep-food-waste-index-report-2090
Tunisia,135,91,1064407,16,182908,28,323336,0,788,Northern Africa,https://www.unep.org/resources/report/unep-food-waste-index-report-2112
